series,photon_pt_low_gev,photon_pt_high_gev,xj_low,xj_high,value,stat,syst
pp,63.1,79.6,0.50119,0.56234,0.78551,0.01709,0.07484
pp,63.1,79.6,0.56234,0.63096,0.77922,0.01646,0.04011
pp,63.1,79.6,0.63096,0.70795,0.81438,0.01599,0.03918
pp,63.1,79.6,0.70795,0.79433,0.93894,0.01668,0.04675
pp,63.1,79.6,0.79433,0.89125,1.13434,0.01839,0.03864
pp,63.1,79.6,0.89125,1.0,1.25284,0.02017,0.07763
pp,63.1,79.6,1.0,1.12202,0.7194,0.01405,0.11146
pp,63.1,79.6,1.12202,1.25893,0.28967,0.00778,0.06868
pp,63.1,79.6,1.25893,1.41254,0.13959,0.0052,0.02436
pp,63.1,79.6,1.41254,1.58489,0.0717,0.0036,0.01565
pp,63.1,79.6,1.58489,1.77828,0.03675,0.00251,0.00812
pp,63.1,79.6,1.77828,1.99526,0.01637,0.00154,0.00416
PbPb_0-10,63.1,79.6,0.50119,0.56234,1.19274,0.07609,0.15419
PbPb_0-10,63.1,79.6,0.56234,0.63096,0.98879,0.05102,0.12893
PbPb_0-10,63.1,79.6,0.63096,0.70795,0.83497,0.03672,0.12519
PbPb_0-10,63.1,79.6,0.70795,0.79433,0.73725,0.03182,0.09884
PbPb_0-10,63.1,79.6,0.79433,0.89125,0.69665,0.03236,0.08574
PbPb_0-10,63.1,79.6,0.89125,1.0,0.61455,0.03247,0.09103
PbPb_0-10,63.1,79.6,1.0,1.12202,0.33048,0.0214,0.06602
PbPb_0-10,63.1,79.6,1.12202,1.25893,0.14538,0.01217,0.03356
PbPb_0-10,63.1,79.6,1.25893,1.41254,0.08078,0.00899,0.01603
PbPb_0-10,63.1,79.6,1.41254,1.58489,0.04992,0.00747,0.01131
PbPb_0-10,63.1,79.6,1.58489,1.77828,0.02804,0.00601,0.0073
PbPb_0-10,63.1,79.6,1.77828,1.99526,0.01137,0.00346,0.00295
PbPb_10-20,63.1,79.6,0.50119,0.56234,1.00532,0.07852,0.19818
PbPb_10-20,63.1,79.6,0.56234,0.63096,0.88816,0.0571,0.08286
PbPb_10-20,63.1,79.6,0.63096,0.70795,0.7916,0.04368,0.08746
PbPb_10-20,63.1,79.6,0.70795,0.79433,0.73981,0.03993,0.07876
PbPb_10-20,63.1,79.6,0.79433,0.89125,0.74594,0.04303,0.08211
PbPb_10-20,63.1,79.6,0.89125,1.0,0.69097,0.04442,0.07896
PbPb_10-20,63.1,79.6,1.0,1.12202,0.38637,0.03131,0.07672
PbPb_10-20,63.1,79.6,1.12202,1.25893,0.17537,0.01878,0.04571
PbPb_10-20,63.1,79.6,1.25893,1.41254,0.09299,0.01425,0.02318
PbPb_10-20,63.1,79.6,1.41254,1.58489,0.05197,0.01107,0.01413
PbPb_10-20,63.1,79.6,1.58489,1.77828,0.03127,0.00841,0.00762
PbPb_10-20,63.1,79.6,1.77828,1.99526,0.01908,0.00598,0.00336
